firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,0,0,4,0,1.0063793,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0024327,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,0.9997764,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,0.9991584,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0196562,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0035275,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0095497,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0097467,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0131708,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0066246,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.007408,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0066992,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0095351,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0070442,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0147539,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0147073,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,0.9964037,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.0027387,0,0,0,0,0,0,0,0,0,0,0,0
